2025-01-29 08:00:00.123 INFO  [app-service] [requestId=req-001] SystemStartup - Application starting... 
2025-01-29 08:00:02.456 INFO  [database-service] DatabaseConnection - Connected to primary database: jdbc:mysql://db-cluster-01
2025-01-29 08:00:03.789 INFO  [cache-service] CacheManager - Redis cache initialized successfully
2025-01-29 08:00:05.001 INFO  [apache-server] HTTPServer - Apache server started on port 443
2025-01-29 08:00:06.234 INFO  [app-service] [requestId=req-002] HealthCheck - Application health check passed, status=UP
2025-01-29 08:05:12.567 INFO  [app-service] [requestId=req-003] [userId=101] AuthController - User login successful: userId=101, ip=192.168.1.10
2025-01-29 08:05:13.876 INFO  [apache-server] [requestId=req-003] AccessLog - 200 POST /login userId=101 duration=120ms
2025-01-29 08:05:14.321 INFO  [ui-service] [requestId=req-003] RenderComponent - Dashboard rendered for userId=101
2025-01-29 08:10:20.897 INFO  [app-service] [requestId=req-004] [userId=101] OrderService - Order placed: orderId=ORD-98765, items=3, total=$129.99
2025-01-29 08:10:21.234 INFO  [database-service] TransactionManager - Transaction committed for orderId=ORD-98765
2025-01-29 08:10:22.567 INFO  [apache-server] [requestId=req-004] AccessLog - 200 POST /checkout userId=101 duration=250ms
2025-01-29 08:10:23.678 INFO  [app-service] [requestId=req-004] [userId=101] PaymentService - Payment authorized: txnId=TXN-45678, method=CreditCard, amount=$129.99
2025-01-29 08:10:25.002 INFO  [ui-service] [requestId=req-004] RenderComponent - Order confirmation page loaded for orderId=ORD-98765
2025-01-29 08:15:30.123 INFO  [app-service] [requestId=req-005] [userId=101] OrderService - Order shipped: orderId=ORD-98765, shipmentId=SHIP-54321
2025-01-29 08:15:31.456 INFO  [shipping-service] ShipmentManager - Shipment dispatched to carrier: carrier=FedEx, estimatedDelivery=2025-02-01
2025-01-29 08:15:32.789 INFO  [apache-server] [requestId=req-005] AccessLog - 200 POST /shipment userId=101 duration=180ms
2025-01-29 08:20:05.234 INFO  [app-service] [requestId=req-006] [userId=102] AuthController - User login successful: userId=102, ip=192.168.1.15
2025-01-29 08:20:06.345 INFO  [apache-server] [requestId=req-006] AccessLog - 200 POST /login userId=102 duration=130ms
2025-01-29 08:20:07.890 INFO  [ui-service] [requestId=req-006] RenderComponent - Dashboard rendered for userId=102
2025-01-29 08:22:10.123 INFO  [app-service] [requestId=req-007] [userId=102] ProductService - Product added to cart: productId=PRD-12345, quantity=2
2025-01-29 08:22:11.234 INFO  [database-service] CartManager - Cart updated for userId=102, cartId=CART-78945
2025-01-29 08:22:12.567 INFO  [apache-server] [requestId=req-007] AccessLog - 200 POST /cart/add userId=102 duration=250ms
2025-01-29 08:25:15.234 INFO  [app-service] [requestId=req-008] [userId=102] OrderService - Order placed: orderId=ORD-98766, items=2, total=$89.99
2025-01-29 08:25:16.789 INFO  [database-service] TransactionManager - Transaction committed for orderId=ORD-98766
